dikidi_id,dikidi_category,title,location,price_rub,duration_min,source,confidence
22419113,"1. Пригород Лесное (общий массаж)",Остеопрактика,lesnoe,5500,60,dikidi-profile,точно
22419133,"1. Пригород Лесное (общий массаж)",Стоун-массаж,lesnoe,5500,90,dikidi-profile,точно
23111621,"1. Пригород Лесное (общий массаж)",Классический массаж,lesnoe,5500,90,dikidi-profile,точно
23111623,"1. Пригород Лесное (общий массаж)",Лимфодренажный массаж,lesnoe,5500,90,dikidi-profile,точно
23116789,Без категории,Массаж лица и шейно-воротниковой зоны,?,4000,45,dikidi-profile,точно (локация ?)
23112680,?,Массаж лица и шейно-воротниковой зоны,lesnoe,?,?,dikidi-review,по отзыву
23111641,?,Первичный приём,lesnoe,?,?,dikidi-review,по отзыву
23112808,?,Биодинамика,online,?,?,dikidi-review,по отзыву
,?,Остеопрактика,moskva,?,?,dikidi-review,по отзыву (услуга больше не оказывается в этой версии)
,?,Оздоровительная остеопрактика,?,?,?,описание профиля,упомянуто
,?,Эстетическая остеопрактика,?,?,?,описание профиля,упомянуто
,?,Эмоциональная коррекция,?,?,?,описание профиля,упомянуто
,?,Сессия психосоматики,?,?,?,описание профиля,упомянуто
,?,Консультация с метафорическими картами,?,?,?,описание профиля,упомянуто
,?,Маски для лица,?,?,?,пост о прайсе,упомянуто
,?,БЭМ — биоэнергорегуляционный массаж,?,?,90,пост о БЭМ,упомянуто
